@2015-11-29 19:19:46 || Acecss DENIED :: Subject -> doctor; Action -> view; Resource -> record
@2015-11-29 19:19:46 || Access GRANTED :: Subject -> sub; Action -> action; Resource -> resource
@2015-11-29 19:20:42 || Acecss DENIED :: Subject -> doctor; Action -> view; Resource -> record
@2015-11-29 19:20:42 || Access GRANTED :: Subject -> sub; Action -> action; Resource -> resource
@2015-11-29 19:21:04 || Access GRANTED :: Subject -> doctor+emergency; Action -> view; Resource -> record
@2015-11-29 19:21:04 || Access GRANTED :: Subject -> sub; Action -> action; Resource -> resource
@2015-11-29 19:34:16 || Acecss DENIED :: Subject -> doctor+orto; Action -> view; Resource -> record+orto
@2015-11-29 19:34:16 || Access GRANTED :: Subject -> sub; Action -> action; Resource -> resource
@2015-11-29 19:34:37 || Access GRANTED :: Subject -> doctor+regular+orto; Action -> view; Resource -> record+orto
@2015-11-29 19:34:37 || Access GRANTED :: Subject -> sub; Action -> action; Resource -> resource
@2015-11-29 19:39:43 || Access GRANTED :: Subject -> doctor+emergency; Action -> view; Resource -> record
@2015-11-29 19:39:43 || Access GRANTED :: Subject -> sub; Action -> action; Resource -> resource
@2015-11-29 19:43:26 || Access GRANTED :: Subject -> doctor+regular+pediatria; Action -> view; Resource -> record+pediatria
@2015-11-29 20:29:00 || Acecss DENIED :: Subject -> staff; Action -> create; Resource -> profile
@2015-11-29 20:30:22 || Acecss DENIED :: Subject -> staff; Action -> create; Resource -> profile
@2015-11-29 20:31:19 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> profile
@2015-12-04 01:31:54 || Access GRANTED :: Subject -> doctor; Action -> create; Resource -> entry
@2015-12-04 01:33:15 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 01:37:26 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 01:40:19 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 01:44:36 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> profile
@2015-12-04 01:44:56 || Access GRANTED :: Subject -> doctor; Action -> create; Resource -> entry
@2015-12-04 01:46:19 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:30:36 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:34:10 || Access GRANTED :: Subject -> doctor; Action -> create; Resource -> entry
@2015-12-04 02:34:47 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:35:40 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:36:29 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:38:08 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:39:35 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:41:54 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:46:31 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 02:47:32 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 03:33:39 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 03:37:28 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 03:38:43 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 03:52:52 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> profile
@2015-12-04 03:53:10 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> profile
@2015-12-04 03:54:20 || Access GRANTED :: Subject -> doctor; Action -> create; Resource -> entry
@2015-12-04 03:54:38 || Access GRANTED :: Subject -> doctor+regular+pediatria; Action -> view; Resource -> record+pediatria
@2015-12-04 03:55:02 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> record
@2015-12-04 03:55:19 || Access GRANTED :: Subject -> doctor+emergency; Action -> view; Resource -> record
@2015-12-04 03:58:55 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> specialty
@2015-12-04 03:59:23 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> profile
@2015-12-04 04:00:45 || Access GRANTED :: Subject -> staff; Action -> create; Resource -> profile
@2015-12-04 04:06:55 || Access GRANTED :: Subject -> doctor; Action -> create; Resource -> entry
@2015-12-04 04:08:22 || Access GRANTED :: Subject -> doctor; Action -> create; Resource -> entry
@2015-12-04 04:14:59 || Access GRANTED :: Subject -> doctor; Action -> create; Resource -> entry
@2015-12-04 04:20:07 || Access GRANTED :: Subject -> doctor+regular+fisioterapia; Action -> view; Resource -> record+fisioterapia
